codigoMesa;idUbigeo;dep;gap_t_c_s;jpp_votos;rla_votos;total_valid;jpp_pct;ganador
044737;140113;14;303477.0;6;39;210;2.857;FUERZA POPULAR
066489;150202;15;242366.0;43;1;85;50.588;JUNTOS POR EL PERÚ
087785;941704;94;236809.0;9;30;190;4.737;VOTOS EN BLANCO
066568;150211;15;229390.0;55;2;111;49.55;JUNTOS POR EL PERÚ
085834;920401;92;214674.0;19;28;270;7.037;PARTIDO DEL BUEN GOBIERNO
087465;940910;94;213901.0;1;25;175;0.571;RENOVACIÓN POPULAR
087525;940910;94;212500.0;5;17;183;2.732;FUERZA POPULAR
086294;921304;92;211876.0;1;3;57;1.754;RENOVACIÓN POPULAR
058913;140139;14;198680.0;12;35;221;5.43;FUERZA POPULAR
086557;921319;92;194530.0;3;4;74;4.054;RENOVACIÓN POPULAR
088018;942703;94;184396.0;2;5;85;2.353;RENOVACIÓN POPULAR
003267;21308;02;175597.0;12;12;183;6.557;FUERZA POPULAR
085892;920532;92;173594.0;3;7;78;3.846;RENOVACIÓN POPULAR
023414;100304;10;170039.0;13;37;186;6.989;PARTIDO CÍVICO OBRAS
055874;140136;14;169191.0;8;17;169;4.734;RENOVACIÓN POPULAR
002643;21301;02;167104.0;6;10;195;3.077;FUERZA POPULAR
085628;920202;92;165660.0;7;12;117;5.983;VOTOS EN BLANCO
020653;90411;09;158912.0;19;18;72;26.389;JUNTOS POR EL PERÚ
045729;140116;14;156685.0;12;29;140;8.571;PARTIDO CÍVICO OBRAS
086405;921315;92;153349.0;0;1;60;0.0;RENOVACIÓN POPULAR
085714;920202;92;150898.0;5;13;118;4.237;VOTOS EN BLANCO
020438;90312;09;150809.0;16;14;50;32.0;VOTOS EN BLANCO
086159;921006;92;148167.0;5;16;153;3.268;VOTOS EN BLANCO
086661;921325;92;144832.0;2;7;72;2.778;FUERZA POPULAR
067231;150701;15;138158.0;34;0;116;29.31;JUNTOS POR EL PERÚ
086355;921315;92;134174.0;2;2;71;2.817;RENOVACIÓN POPULAR
065835;150112;15;130726.0;8;7;163;4.908;FUERZA POPULAR
002323;21009;02;129974.0;38;11;81;46.914;JUNTOS POR EL PERÚ
003528;21309;02;126822.0;7;15;215;3.256;FUERZA POPULAR
049744;140126;14;122153.0;5;21;197;2.538;PARTIDO DEL BUEN GOBIERNO
072947;190601;19;121776.0;6;13;185;3.243;FUERZA POPULAR
003073;21303;02;120121.0;38;14;108;35.185;JUNTOS POR EL PERÚ
087040;922101;92;116628.0;0;9;145;0.0;RENOVACIÓN POPULAR
086673;921325;92;115895.0;1;4;63;1.587;RENOVACIÓN POPULAR
071362;190202;19;115712.0;9;5;31;29.032;VOTOS EN BLANCO
020759;90601;09;113756.0;12;23;144;8.333;VOTOS EN BLANCO
045732;140116;14;113165.0;18;25;159;11.321;FUERZA POPULAR
086946;921373;92;112897.0;0;7;105;0.0;RENOVACIÓN POPULAR
087648;940918;94;112030.0;4;12;147;2.721;FUERZA POPULAR
044749;140113;14;111277.0;6;29;210;2.857;FUERZA POPULAR
086470;921317;92;111229.0;1;2;90;1.111;RENOVACIÓN POPULAR
087016;921385;92;110708.0;2;11;91;2.198;RENOVACIÓN POPULAR
044738;140113;14;110168.0;7;21;213;3.286;FUERZA POPULAR
045572;140116;14;109364.0;16;31;209;7.656;FUERZA POPULAR
087558;940910;94;106669.0;8;32;192;4.167;VOTOS EN BLANCO
085858;920505;92;103765.0;0;2;85;0.0;VOTOS EN BLANCO
087733;941204;94;102156.0;0;12;138;0.0;RENOVACIÓN POPULAR
087175;930726;93;101994.0;0;2;104;0.0;FUERZA POPULAR
025429;110132;11;100692.0;23;32;207;11.111;PARTIDO CÍVICO OBRAS
086982;921381;92;100340.0;1;18;106;0.943;RENOVACIÓN POPULAR
087009;921385;92;98585.0;0;9;114;0.0;RENOVACIÓN POPULAR
086758;921331;92;98347.0;0;4;94;0.0;RENOVACIÓN POPULAR
086974;921381;92;98161.0;1;8;96;1.042;RENOVACIÓN POPULAR
086310;921304;92;94458.0;1;2;47;2.128;RENOVACIÓN POPULAR
086447;921317;92;93086.0;0;5;90;0.0;RENOVACIÓN POPULAR
024944;110113;11;92158.0;14;25;224;6.25;PARTIDO PAÍS PARA TODOS
067309;150704;15;91255.0;37;6;106;34.906;JUNTOS POR EL PERÚ
085983;921001;92;91189.0;8;19;141;5.674;VOTOS EN BLANCO
067245;150701;15;91056.0;42;6;103;40.777;JUNTOS POR EL PERÚ
087189;931001;93;91046.0;0;2;33;0.0;RENOVACIÓN POPULAR
067246;150701;15;90811.0;42;2;134;31.343;JUNTOS POR EL PERÚ
086564;921319;92;90444.0;0;1;73;0.0;RENOVACIÓN POPULAR
066611;150301;15;89987.0;3;11;129;2.326;VOTOS EN BLANCO
087427;940910;94;89703.0;5;12;172;2.907;RENOVACIÓN POPULAR
087521;940910;94;88543.0;2;12;149;1.342;RENOVACIÓN POPULAR
086807;921335;92;88210.0;4;4;71;5.634;RENOVACIÓN POPULAR
071417;190204;19;88003.0;29;15;98;29.592;VOTOS EN BLANCO
044720;140113;14;86291.0;12;22;176;6.818;FUERZA POPULAR
085903;920601;92;85984.0;5;15;164;3.049;RENOVACIÓN POPULAR
066285;150201;15;85716.0;14;8;157;8.917;VOTOS EN BLANCO
044694;140113;14;85388.0;12;34;209;5.742;FUERZA POPULAR
087608;940910;94;84094.0;11;23;180;6.111;RENOVACIÓN POPULAR
022449;100109;10;83311.0;33;38;218;15.138;PARTIDO CÍVICO OBRAS
045642;140116;14;83136.0;18;30;190;9.474;PARTIDO CÍVICO OBRAS
086337;921313;92;82150.0;0;4;114;0.0;RENOVACIÓN POPULAR
087378;940903;94;81908.0;2;13;118;1.695;VOTOS EN BLANCO
087584;940910;94;81853.0;5;11;144;3.472;PARTIDO PAÍS PARA TODOS
045633;140116;14;81656.0;16;22;171;9.357;PARTIDO DEL BUEN GOBIERNO
085978;921001;92;81574.0;18;24;154;11.688;VOTOS EN BLANCO
086829;921335;92;81208.0;3;10;75;4.0;RENOVACIÓN POPULAR
086496;921317;92;80891.0;0;1;75;0.0;RENOVACIÓN POPULAR
086508;921317;92;80879.0;2;4;98;2.041;RENOVACIÓN POPULAR
086906;921335;92;80743.0;1;1;48;2.083;VOTOS EN BLANCO
087182;930731;93;80722.0;0;4;125;0.0;FUERZA POPULAR
087502;940910;94;80650.0;10;14;166;6.024;VOTOS EN BLANCO
086804;921335;92;80184.0;0;0;11;0.0;RENOVACIÓN POPULAR
065865;150112;15;78694.0;13;6;164;7.927;FUERZA POPULAR
086533;921319;92;78039.0;0;3;60;0.0;RENOVACIÓN POPULAR
086815;921335;92;76858.0;1;4;77;1.299;FUERZA POPULAR
045630;140116;14;76780.0;21;18;173;12.139;PARTIDO DEL BUEN GOBIERNO
054940;140136;14;76400.0;9;9;245;3.673;PARTIDO DEL BUEN GOBIERNO
086531;921319;92;76386.0;4;6;58;6.897;RENOVACIÓN POPULAR
070904;190115;19;76262.0;9;16;219;4.11;FUERZA POPULAR
086667;921325;92;74470.0;1;6;68;1.471;RENOVACIÓN POPULAR
023335;100301;10;74307.0;7;23;182;3.846;FUERZA POPULAR
065000;150101;15;74104.0;7;4;179;3.911;FUERZA POPULAR
014718;61304;06;73843.0;65;21;145;44.828;JUNTOS POR EL PERÚ
071655;190302;19;73577.0;40;11;131;30.534;JUNTOS POR EL PERÚ
058771;140138;14;73109.0;0;0;0;0;FRENTE POPULAR AGRÍCOLA FÍA DEL PERÚ
058773;140138;14;72955.0;0;0;0;0;SALVEMOS AL PERÚ
055642;140136;14;71765.0;7;11;154;4.545;FUERZA POPULAR
086125;921006;92;71311.0;7;14;125;5.6;VOTOS EN BLANCO
044742;140113;14;71247.0;15;18;208;7.212;FUERZA POPULAR
087655;940918;94;70028.0;4;0;140;2.857;FUERZA POPULAR
086287;921304;92;69988.0;0;4;49;0.0;RENOVACIÓN POPULAR
020726;90601;09;69724.0;12;21;123;9.756;VOTOS EN BLANCO
087652;940918;94;69579.0;3;18;151;1.987;RENOVACIÓN POPULAR
029244;120110;12;69223.0;10;10;195;5.128;FUERZA POPULAR
087651;940918;94;69202.0;0;20;154;0.0;RENOVACIÓN POPULAR
086302;921304;92;69047.0;1;2;51;1.961;RENOVACIÓN POPULAR
059100;140140;14;69045.0;3;8;215;1.395;RENOVACIÓN POPULAR
086560;921319;92;68930.0;1;5;68;1.471;RENOVACIÓN POPULAR
074292;200101;20;68643.0;23;25;227;10.132;AHORA NACIÓN - AN
075500;200509;20;68627.0;86;25;176;48.864;JUNTOS POR EL PERÚ
044673;140113;14;68413.0;12;13;201;5.97;PARTIDO DEL BUEN GOBIERNO
030189;120112;12;68183.0;2;19;213;0.939;FUERZA POPULAR
086283;921304;92;68123.0;0;3;34;0.0;RENOVACIÓN POPULAR
029981;120111;12;68110.0;6;13;220;2.727;FUERZA POPULAR
085273;250203;25;68013.0;69;12;140;49.286;JUNTOS POR EL PERÚ
086849;921335;92;67759.0;0;9;68;0.0;RENOVACIÓN POPULAR
086879;921335;92;67015.0;2;2;71;2.817;RENOVACIÓN POPULAR
009149;40512;04;65830.0;26;11;217;11.982;FUERZA POPULAR
037046;140102;14;65205.0;7;11;151;4.636;FUERZA POPULAR
067015;150503;15;64915.0;10;3;64;15.625;VOTOS EN BLANCO
023732;100404;10;64817.0;43;28;220;19.545;JUNTOS POR EL PERÚ
087780;941703;94;64103.0;8;36;188;4.255;PARTIDO CÍVICO OBRAS
023574;100401;10;64041.0;5;21;174;2.874;VOTOS EN BLANCO
055626;140136;14;63934.0;9;21;166;5.422;PARTIDO PAÍS PARA TODOS
047098;140121;14;63881.0;6;13;200;3.0;PARTIDO DEL BUEN GOBIERNO
029368;120110;12;63398.0;7;8;197;3.553;FUERZA POPULAR
088008;942601;94;63387.0;0;6;31;0.0;PARTIDO CÍVICO OBRAS
044744;140113;14;63275.0;13;28;199;6.533;FUERZA POPULAR
086905;921335;92;63266.0;3;9;61;4.918;VOTOS NULOS
073636;190701;19;63238.0;4;9;181;2.21;FUERZA POPULAR
085937;920604;92;63104.0;0;5;150;0.0;RENOVACIÓN POPULAR
029468;120110;12;62980.0;10;17;207;4.831;FUERZA POPULAR
086505;921317;92;62608.0;0;5;91;0.0;RENOVACIÓN POPULAR
086536;921319;92;62444.0;3;5;72;4.167;RENOVACIÓN POPULAR
085272;250203;25;62412.0;42;11;127;33.071;VOTOS EN BLANCO
086816;921335;92;62154.0;3;8;83;3.614;RENOVACIÓN POPULAR
012482;60408;06;61964.0;37;14;166;22.289;JUNTOS POR EL PERÚ
020327;90202;09;61730.0;46;22;114;40.351;JUNTOS POR EL PERÚ
029860;120111;12;61667.0;7;10;179;3.911;VOTOS EN BLANCO
086840;921335;92;61549.0;0;1;81;0.0;PARTIDO DE LOS TRABAJADORES Y EMPRENDEDORES PTE - PERÚ
086904;921335;92;61006.0;0;5;61;0.0;RENOVACIÓN POPULAR
073203;190602;19;60258.0;4;10;182;2.198;FUERZA POPULAR
